ID,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,Class
1,0.139658715965,0.0542423781692,0.0691831802073,0.0482442763121,0,0,0,0.0652842892934,0.150231882976,0,0.867963644877,0.0523018165425,0,0,0.125246623458,0,0.0616662514082,0,0,0.180982790479,0.0641184893971,0,0.0528013374945,0,0,0,0,0.0562352939201,0.0645288949223,0,0.0619318457973,0,0,0,0,0.0978992132815,0,0,0,0.241182303623,0.0659882003355,0,0.0932478283421,0,0.15955406949,0.0624305866934,0.0242642925062,0,0.0539476014544,0.0595743631706,trade
2,0,0,0,0,0,0,0,0.70602597745,0.270783913379,0,0,0,0,0,0,0,0,0,0,0.326210570549,0,0,0,0,0,0,0,0,0,0,0.446513675675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.349879397105,0,0,0,grain
3,0,0,0,0,0,0,0,0.64008074201,0.490983543768,0,0,0,0,0,0,0,0,0,0,0.295741390143,0,0.401439075588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317199467535,0,0,0,crude
4,0,0,0,0,0,0,0,0.639727236398,0.147213714594,0,0.130850184358,0,0,0,0,0,0.241709489492,0,0.13294778548,0,0,0.120365210302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130222038893,0,0,0.56720864478,0,0,0,0,0,0,0,0,0,0.350265061843,trade
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.647294850674,0,0.686172000362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.331929754932,0,0,0,0,ship
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grain
7,0,0.147954106972,0,0.0657966986256,0,0,0,0.133554414202,0,0,0,0,0,0,0,0,0,0,0.0925173657297,0.123414330485,0,0.16752249227,0.144023455453,0,0.242066927871,0,0,0.0766950396819,0,0.0867979865484,0.084464133463,0,0,0,0.0858380510061,0.200275935024,0,0.265909206339,0.810158650697,0.0657860395404,0,0.0912561670566,0.0635868099588,0,0.0725345528162,0,0.0330922228176,0,0,0.081248942237,acq
8,0,0,0,0,0,0.122579518985,0,0.117645349701,0,0.119624015013,0,0.377001300847,0,0,0.0752334289254,0,0,0,0,0,0.115544523637,0,0,0.120989531387,0,0,0.438782666643,0,0,0,0,0.240342340065,0,0.117144108223,0,0.0882094858241,0,0,0.118942028666,0.695394907619,0,0,0,0,0,0,0,0,0,0.107355795158,money-fx
9,0,0,0,0,0,0,0,0,0.238674067642,0.210923714115,0,0,0,0,0.132653249039,0,0,0,0,0.143764086295,0,0,0,0.42666284569,0,0,0,0.178682528356,0,0,0,0,0.456937545887,0,0,0.311065840219,0.211125871016,0,0.209721220675,0.153266963866,0.419343001723,0,0.148143243953,0,0.0844947557504,0,0.154195162203,0,0,0,acq
10,0,0.203433568041,0.389202548073,0.1809379603,0,0,0,0,0.0704297290674,0,0.250404469669,0.588466740217,0,0,0.156577251681,0,0.346914699589,0,0.127209296189,0.339383855059,0,0.115169828763,0.0990145053223,0,0,0,0,0,0,0,0.116136283024,0.125051269121,0,0,0,0,0,0,0,0.0904543241475,0,0,0.0874304329567,0,0.0498666890283,0.117071535528,0,0,0,0,trade
11,0,0.306727003916,0,0,0,0.38464945255,0,0.18458311687,0,0,0,0,0,0,0,0,0,0.642098162993,0.383599684812,0,0,0,0.298578281394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274416940915,0,0,0,earn
12,0,0,0,0,0,0,0.820336495719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123346491326,0,0,0,0,0,0,0.558420698819,0,0,0,earn
13,0,0,0,0,0,0,0,0,0,0,0,0.519889937954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.605087284377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.602979129572,0,0,0,money-fx
